Date,Stock,Entry Mode,Entry Time,Entry Price (₹),Stop-Loss (₹),Target (₹),Risk Per Share (₹),Risk %,Trigger Was (₹),Volume Strength,Relative Strength %,Why Entered,symbol,expectancy,weight,entry,stop,risk_per_share,target,loss_cap,qi_raw,qi_cap,qi,value,qi_final,value_final,allocation_reason,risk_allocated
2025-12-12,NAM-INDIA,A - ORB Breakout,09:50:00,850.35,841.8,867.45,8.55,1.01,849.55,3.46x,1.18,Price broke above Opening Range High with strong volume and momentum,NAM-INDIA,1.18,0.013416714042069356,850.35,833.343,17.007,884.364,26.833428084138713,1,3,0,0.0,0,0.0,below_min_notional,0.0
2025-12-15,KEC,B - VWAP Reclaim,09:25:00,719.55,714.1,730.45,5.45,0.76,715.0,2.29x,2.12,Price pulled back to VWAP and reclaimed it with volume support,KEC,2.12,0.024104604889141557,719.55,705.159,14.391,748.332,48.20920977828312,3,4,0,0.0,0,0.0,below_min_notional,0.0
2025-12-15,HINDZINC,B - VWAP Reclaim,09:35:00,570.9,567.55,577.65,3.35,0.59,568.25,1.83x,6.38,Price pulled back to VWAP and reclaimed it with volume support,HINDZINC,6.38,0.0725412166003411,570.9,559.482,11.418,593.736,145.0824332006822,12,5,0,0.0,0,0.0,below_min_notional,0.0
2025-12-16,ATHERENERG,B - VWAP Reclaim,09:40:00,692.0,686.1,703.8,5.9,0.85,687.05,1.21x,—,Price pulled back to VWAP and reclaimed it with volume support,ATHERENERG,0.0,0.0,692.0,678.16,13.84,719.68,0.0,0,4,0,0.0,0,0.0,non_positive_expectancy,0.0
2025-12-16,PRAJIND,A - ORB Breakout,09:50:00,345.7,338.65,359.85,7.05,2.04,343.25,57.81x,3.65,Price broke above Opening Range High with strong volume and momentum,PRAJIND,3.65,0.041500852757248435,345.7,338.786,6.914,359.52799999999996,83.00170551449688,12,8,0,0.0,0,0.0,below_min_notional,0.0
2025-12-18,DATAPATTNS,C - Day High Break,09:20:00,2465.3,2440.75,2514.45,24.55,1.0,2451.75,2.01x,—,Price consolidated near day high and broke out with strong volume,DATAPATTNS,0.0,0.0,2465.3,2415.994,49.306000000000004,2563.9120000000003,0.0,0,1,0,0.0,0,0.0,non_positive_expectancy,0.0
2025-12-18,NAM-INDIA,B - VWAP Reclaim,09:35:00,921.9,917.85,930.05,4.05,0.44,920.2,38.17x,9.32,Price pulled back to VWAP and reclaimed it with volume support,NAM-INDIA,9.32,0.10596930073905628,921.9,903.462,18.438,958.776,211.93860147811256,11,3,0,0.0,0,0.0,below_min_notional,0.0
2025-12-19,GODREJPROP,C - Day High Break,09:30:00,2024.6,2004.35,2065.1,20.25,1.0,2023.3,1.53x,—,Price consolidated near day high and broke out with strong volume,GODREJPROP,0.0,0.0,2024.6,1984.108,40.492,2105.584,0.0,0,1,0,0.0,0,0.0,non_positive_expectancy,0.0
2025-12-19,JKTYRE,A - ORB Breakout,09:45:00,483.0,477.55,493.9,5.45,1.13,474.85,2.48x,4.13,Price broke above Opening Range High with strong volume and momentum,JKTYRE,4.13,0.04695849914724275,483.0,473.34,9.66,502.32,93.9169982944855,9,6,0,0.0,0,0.0,below_min_notional,0.0
2025-12-19,ITI,A - ORB Breakout,09:50:00,329.55,321.3,346.05,8.25,2.5,328.45,1.99x,1.69,Price broke above Opening Range High with strong volume and momentum,ITI,1.69,0.019215463331438316,329.55,322.959,6.591,342.732,38.43092666287663,5,9,0,0.0,0,0.0,below_min_notional,0.0
